Email,Office
sdr1@segment.com,California
sdr2@segment.com,California
sdr3@segment.com,New York
sdr4@segment.com,California
sdr5@segment.com,California
sdr6@segment.com,New York
sdr7@segment.com,California
sdr8@segment.com,New York
sdr9@segment.com,California
sdr10@segment.com,California
sdr11@segment.com,California
sdr12@segment.com,California
sdr13@segment.com,New York
sdr14@segment.com,New York
sdr15@segment.com,California
sdr16@segment.com,California
sdr17@segment.com,New York
sdr18@segment.com,Colorado
sdr19@segment.com,New York
sdr20@segment.com,California
sdr21@segment.com,California
sdr22@segment.com,California
sdr23@segment.com,California
sdr24@segment.com,New York
sdr25@segment.com,Colorado
sdr26@segment.com,New York
sdr27@segment.com,California
sdr28@segment.com,New York
sdr29@segment.com,California
sdr30@segment.com,Colorado
sdr31@segment.com,New York
sdr32@segment.com,California
sdr33@segment.com,New York
sdr34@segment.com,New York
sdr35@segment.com,New York
sdr36@segment.com,New York
sdr37@segment.com,California
sdr38@segment.com,California
sdr39@segment.com,New York
sdr40@segment.com,Colorado
sdr41@segment.com,Remote
sdr42@segment.com,Remote
sdr43@segment.com,Remote
